36;13;26315653;(-73.938081 40.874699,-73.9474845690832 40.8577734532874,-73.883079 40.866593,-73.870944 40.878511,-73.9348925809607 40.8826489819421,-73.938081 40.874699)
36;03;660259854;(-73.827583 40.803936,-73.825285 40.781697,-73.736459 40.746802,-73.746738 40.732583,-73.724722 40.724314,-73.701633 40.752493,-73.568826 40.777324,-73.54569 40.743582,-73.469773 40.731217,-73.436006 40.739458,-73.4385 40.751311,-73.294966 40.784297,-73.269387 40.805807,-73.226082 40.899249,-73.2358261228726 40.9066894596956,-73.33136 40.929597,-73.392862 40.955297,-73.436664 40.934897,-73.485365 40.946397,-73.4973510386263 40.9231822732944,-73.499941 40.918166,-73.617571 40.897898,-73.654372 40.878199,-73.713674 40.870099,-73.7411972449486 40.8758545928374,-73.74806 40.871721,-73.778958 40.811713,-73.827583 40.803936)
06;37;143131687;(-118.470888 34.041334,-118.421291 33.980169,-118.300249 33.959022,-118.280718 33.967874,-118.259997 34.031129,-118.303872 34.0372,-118.322859 34.061812,-118.470888 34.041334)
04;07;531256759;(-112.246369 33.508682,-112.289699 33.435448,-112.221132 33.422978,-112.237122 33.388404,-112.221603 33.370002,-112.147914 33.304647,-111.956835 33.356458,-111.982564 33.480173,-112.073774 33.480249,-112.116908 33.538569,-112.151674 33.553117,-112.255003 33.551747,-112.246369 33.508682)
12;24;274630733;(-80.340666 25.993128,-80.351384 25.956963,-80.294972 25.95677,-80.278764 25.970968,-80.292002 25.898616,-80.242468 25.86671,-80.256591 25.860198,-80.193516 25.760541,-80.18011 25.769726,-80.1256942042499 25.7568734350633,-80.123806 25.762767,-80.109953 25.81826,-80.117904 25.915772,-80.1152014262862 25.9713251562163,-80.165724 25.973783,-80.165507 25.996233,-80.229264 26.009691,-80.340666 25.993128)
12;13;481831174;(-82.8483940764977 28.0934393779542,-82.828163 28.02013,-82.840882 27.937162,-82.846526 27.854301,-82.790224 27.791603,-82.746223 27.731306,-82.738467 27.678504,-82.733076 27.612972,-82.705017 27.62531,-82.6773573082859 27.6648252754397,-82.679298 27.726457,-82.695673 27.733852,-82.699808 27.762732,-82.714263 27.780861,-82.686297 27.784575,-82.627581 27.781268,-82.6148309802089 27.7878975699096,-82.586519 27.816703,-82.5663804246361 27.8363383119142,-82.573419 27.909,-82.64882 27.979497,-82.706444 28.048818,-82.8483940764977 28.0934393779542)
48;24;680559560;(-97.212242 32.819511,-97.212769 32.778329,-97.16907 32.802117,-97.034085 32.81666,-96.941567 32.829421,-96.881777 32.910953,-96.854405 32.859992,-96.846883 32.855691,-96.826929 32.859119,-96.803375 32.987003,-96.843979 32.987554,-96.841849 33.086456,-96.944128 33.033647,-96.958665 32.989013,-96.980069 32.989203,-96.985049 32.986081,-96.988385 32.985152,-96.993402 32.985798,-96.993204 32.987065,-96.99024 32.986397,-96.990214 32.989287,-97.032287 32.989324,-97.180907 32.989813,-97.202857 32.968136,-97.185994 32.879848,-97.212242 32.819511)
17;04;135858371;(-87.920445 41.906841,-87.917304 41.796397,-87.743605 41.829316,-87.699691 41.786307,-87.642707 41.849905,-87.891641 41.8498,-87.919601 41.882176,-87.844236 41.888954,-87.780504 41.921463,-87.70869 41.899171,-87.687006 41.902087,-87.703605 41.968494,-87.805826 41.910706,-87.920445 41.906841)
17;09;272963676;(-88.004693 42.131734,-87.993897 42.051461,-87.920842 42.022917,-87.846493 41.973706,-87.773345 42.011949,-87.674705 41.990763,-87.634367533887 41.9329102403255,-87.668982 42.029142,-87.682359 42.075729,-87.6892756203283 42.0818519403908,-87.7413552334043 42.1279554347716,-87.741662 42.128227,-87.7416899291898 42.1282651594678,-87.839046 42.126083,-87.823307 42.040398,-87.911183 42.041853,-87.961017 42.126224,-88.004693 42.131734)
06;29;238367198;(-118.493485 34.377541,-118.508501 34.333767,-118.467782 34.291162,-118.490194 34.186635,-118.359127 34.181224,-118.39005 34.252205,-118.315122 34.274224,-118.40124 34.287972,-118.405275 34.380621,-118.493485 34.377541)
06;30;352102387;(-118.715778 34.223925,-118.667944 34.199166,-118.693834 34.168557,-118.693829 34.150975,-118.548086 34.125821,-118.375305 34.123538,-118.344304 34.143268,-118.359127 34.181224,-118.490194 34.186635,-118.467782 34.291162,-118.508501 34.333767,-118.526306 34.274502,-118.633461 34.269522,-118.667708 34.236692,-118.715778 34.223925)
06;40;149406845;(-118.259997 34.031129,-118.280718 33.967874,-118.255899 33.960169,-118.156253 33.951038,-118.151294 33.879807,-118.108268 33.88694,-118.090378 33.931675,-118.14416 34.033463,-118.168228 34.047848,-118.191416 34.012859,-118.259997 34.031129)
06;45;855908291;(-117.86753 33.691631,-117.85677 33.63841,-117.723416 33.607785,-117.673928 33.559069,-117.552502 33.643485,-117.457937 33.602189,-117.412987 33.659045,-117.533999 33.710355,-117.675053 33.868725,-117.745831 33.879235,-117.834001 33.838856,-117.83764 33.71126,-117.86753 33.691631)
