Total population,750278,819899,754350,847032,751232,763491,780442,774967,778477,759453,749597,849357,768213
White,351832,584858,548218,524537,593578,545204,585311,509184,510668,614796,678534,404846,537499
Black or African American,337080,164858,148353,185919,110330,153787,148252,181626,151442,88811,25988,318876,166890
American Indian and Alaska Native,7678,5057,2859,3446,2182,3015,6998,9285,60259,3846,11804,2650,1764
Asian,14892,11273,9927,75059,12338,11622,5443,16964,19704,13418,8393,48780,27615
Native Hawaiian and Other Pacific Islander,436,283,530,87,415,881,329,1173,321,392,400,786,48
Some other race,18866,27951,10526,31144,17412,29286,14807,28858,16609,24188,13443,52301,18902
Two or more races,19494,25619,33937,26840,14977,19696,19302,27877,19474,14002,11035,21118,15495
Hispanic or Latino (of any race),65885,78269,59800,86426,71285,75945,73104,76701,59456,51064,44197,127209,61769
